Number,VcsUrl,JobName,Repo,Link,Inspection_1,Subtype_1,Purpose,IS_CONFLICT?Purpose,2 Label,2 Remarks,3 remarks,Final Label,Final Label notes,Programming Purposes,Mechanism_1,Mechanism_2,IS_CONFLICT?Mechanism,,Programming Mechanisms,Impact (HALT/SKIP/MINIMIZE),magnitude,IS_CONFLICT_Magnitude,Final_magnitude,Programming Magnitude,Remark_1,Purpose_sub,Remark_2,VcsUrl,JobName,Repo,Link,Related statements,From original only,WeightedMiddle,AverageRatio,HighestRatio,LowestRatio,ValidBuildCount,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
2,https://github.com/demisto/content,Server 4_1,demisto/content,Server 4_1,yes,Skip tests when instance was not setup; Skip tests when it is nightly build,The required server instance was not created,1,,,,Skip tests when instance was not setup; Skip tests when it is nightly build,,Skip tests when instance was not setup; Skip tests when it is nightly build,Inspecting outputs generated by a program; Checking pipeline's parameters,Check env var.,1,,Inspecting outputs generated by a program; Checking pipeline's parameters,,step,,,step,,,"echo ""Skipping - instance was not created""",https://github.com/demisto/content,Server 4_1,demisto/content,Server 4_1,"echo ""Skipping - instance was not created""",,0.124050458,0.092210926,0.153310622,0,2088,18198084271265322659,2220,1147,FALSE
220,https://github.com/demisto/content,Server 4_5,demisto/content,Server 4_5,#N/A,Skip tests when instance was not setup; Skip tests when it is nightly build,The required server instance was not created,△,,,,Skip tests when instance was not setup; Skip tests when it is nightly build,,Skip tests when instance was not setup; Skip tests when it is nightly build,Inspecting trace logs; Checking pipeline's parameters,Check env var.,△,,Inspecting trace logs; Checking pipeline's parameters,SKIP,Step,0,,Step,,,"echo ""Skipping - instance was not created""",,,,,"echo ""Skipping - instance was not created""",,0.157653829,0.200751803,0.287055544,0.14860789,5100,10814491221897504414,5425,1958,FALSE
231,https://github.com/demisto/content,Server 5_0,demisto/content,Server 5_0,#N/A,Skip tests when instance was not setup; Skip tests when it is nightly build,The required server instance was not created,△,,,,Skip tests when instance was not setup; Skip tests when it is nightly build,,Skip tests when instance was not setup; Skip tests when it is nightly build,Inspecting trace logs; Checking pipeline's parameters,Check env var.,△,,Inspecting trace logs; Checking pipeline's parameters,SKIP,Step,0,,Step,,,"echo ""Skipping - instance was not created""",,,,,"echo ""Skipping - instance was not created""",,0.184221224,0.274859566,0.544224855,0.15616396,8961,3127468515992687692,9532,1760,FALSE
210,https://github.com/demisto/content,Server Master,demisto/content,Server Master,yes,x,The required server instance was not created,1,The required server instance was not created,,Skipping Preparing Content Packs For Testing since nightly instances uses production bucket,,,The required server instance was not created,x,Check env var.,1,Check status of env var,Check status of env var,,step,,,Step,,,"echo ""Skipping - instance was not created""",https://github.com/demisto/content,Server Master,demisto/content,Server Master,"echo ""Skipping - instance was not created""",y,0.537349009,0.454930636,0.640257556,0.058489515,6315,17967333830141712878,6717,1601,FALSE
79,https://github.com/diem/diem,check-breaking-change,diem/diem,check-breaking-change,#N/A,yes but I don't understand,Skip if already contains breaking changes,?,Skip if already contains breaking changes,, halts the job if no relevant files have changed,,Need discussion by 3,Skip if already contains breaking changes,yes but I don't understand,Check env var.,?,Check env var.,Check env var.,,Remaining steps,,Remaining steps,Remaining steps,,,master already has breaking change $(cat ${BREAKING_CHANGE_REV_FILE}),https://github.com/diem/diem,check-breaking-change,diem/diem,check-breaking-change,"if [ -f ""${BREAKING_CHANGE_REV_FILE}"" ]; then",,0.356609999,0.460118342,0.767330864,0.021267758,2036,11792393321768175851,2165,477,TRUE
6,https://github.com/diem/diem,code_coverage,diem/diem,code_coverage,yes,Skip measuring coverage when coverage has already been measured today,Skip multiple builds in a period,0,,,,,,Skip measuring coverage when coverage has already been measured today,Check the last date of coverage measurement,"Use cached files.
Use linux system command",△,,Check the last date of coverage measurement; Use cached files.; Use linux system command,,Remaining steps,,,Remaining steps,,,Halt job if already built code coverage today.,https://github.com/diem/diem,code_coverage,diem/diem,code_coverage,"if [[ ""$LAST"" == ""$NOW"" ]]; then",,0.056284847,0.198253649,0.84198015,0.003745617,1053,17773816324841067455,1119,394,TRUE
130,https://github.com/diem/diem,docker-ci-build,diem/diem,docker-ci-build,#N/A,Skip docker-build and tests when source code are not changed,Skip if certain folder has not changed.,0,,,,,,Skip docker-build and tests when source code are not changed,Check git diff to find changes,Use variables,1,,Check git diff to find changes,,Remaining steps,,,Remaining steps,,,halt if no changes,https://github.com/diem/diem,docker-ci-build,diem/diem,docker-ci-build,"if [[ ""$(cat /tmp/should_halt)"" == ""halt"" ]]; then",,0.330702454,0.348229438,0.600991759,0.274738499,1105,6810698220312399268,1174,392,TRUE
111,https://github.com/diem/diem,docker-ci-build-1,diem/diem,docker-ci-build-1,#N/A,Skip docker-build and tests when source code are not changed,Skip if certain folder has not changed.,0,,,,,,Skip docker-build and tests when source code are not changed,Check git diff to find changes,Use variables,1,,Check git diff to find changes,,Remaining steps,,,Remaining steps,,,halt if no changes,https://github.com/diem/diem,docker-ci-build-1,diem/diem,docker-ci-build-1,"if [[ ""$(cat /tmp/should_halt)"" == ""halt"" ]]; then",,0.382660461,0.378589915,0.442537248,0.308977851,6597,8761239753948004987,7016,2231,TRUE
87,https://github.com/diem/diem,docker-ci-build-2,diem/diem,docker-ci-build-2,#N/A,Skip docker-build and tests when source code are not changed,Skip if certain folder has not changed.,0,,,,,,Skip docker-build and tests when source code are not changed,Check git diff to find changes,Use variables,1,,Check git diff to find changes,,Remaining steps,,,Remaining steps,,,halt if no changes,https://github.com/diem/diem,docker-ci-build-2,diem/diem,docker-ci-build-2,"if [[ ""$(cat /tmp/should_halt)"" == ""halt"" ]]; then",,0.405699488,0.389621056,0.415775072,0.335784134,6697,11382101502506740704,7124,2252,TRUE
78,https://github.com/diem/diem,docker-ci-build-3,diem/diem,docker-ci-build-3,#N/A,Skip docker-build and tests when source code are not changed,Skip if certain folder has not changed.,0,,,,,,Skip docker-build and tests when source code are not changed,Check git diff to find changes,Use variables,1,,Check git diff to find changes,,Remaining steps,,,Remaining steps,,,halt if no changes,https://github.com/diem/diem,docker-ci-build-3,diem/diem,docker-ci-build-3,"if [[ ""$(cat /tmp/should_halt)"" == ""halt"" ]]; then",,0.393725203,0.376872057,0.430352964,0.320563868,6692,11896126888915063269,7118,2251,TRUE
158,https://github.com/diem/diem,docker-ci-build-4,diem/diem,docker-ci-build-4,#N/A,Skip docker-build and tests when source code are not changed,Skip if certain folder has not changed.,0,,,,,,Skip docker-build and tests when source code are not changed,Check git diff to find changes,Use variables,1,,Check git diff to find changes,,Remaining steps,,,Remaining steps,This script is always accelerated,skip publish on non-release branch,halt if no changes,https://github.com/diem/diem,docker-ci-build-4,diem/diem,docker-ci-build-4,"if [[ ""$(cat /tmp/should_halt)"" == ""halt"" ]]; then",,0.410472456,0.391577094,0.427539931,0.320610264,6700,4549056968123846285,7127,2255,TRUE
55,https://github.com/diem/diem,docker-pre-publish,diem/diem,docker-pre-publish,#N/A,Skip publishing docker images when the branch is not for testing or releasing,Skip when target branch is not release branch,0,,,,x,"May not be accel. Branches are similar, but they may not want to run it at all",x,Check branch name using environment variables and regular expression,Check env var.,0,,x,HALT,Remaining steps,,,x,,,should pre build docker images (targeting a release branch)?,https://github.com/diem/diem,docker-pre-publish,diem/diem,docker-pre-publish,"if  [[ ! ""$TARGET_BRANCH"" =~ ""^release-[0-9|.]+$"" ]] && [[ ! ""$TARGET_BRANCH"" =~ ""^test-[0-9|.]+$"" ]] ; then",,0.678297155,0.644277327,0.94186535,0,2230,13522783538307806915,2370,503,TRUE
242,https://github.com/edgi-govdata-archiving/web-monitoring-db,build,edgi-govdata-archiving/web-monitoring-db,build,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.202678476,0.299175944,0.7364209,0.075872414,1180,11389523513231324149,1254,63,FALSE
258,https://github.com/electron/electron,electron-osx-x64,electron/electron,electron-osx-x64,#N/A,Skipping create distribution for non-releasing commits,Skipping create distribution because build is not for release,0,,,,,,Skipping create distribution because build is not for release,Check environment variable,Check user env var.,0,,Check user env var.,,Step,0,,Step,,,echo 'Skipping create distribution because build is not for release',,,,,echo 'Skipping create distribution because build is not for release',,0.234945944,0.352683439,0.813587459,0.063410874,2362,9441468031019663423,2512,664,FALSE
10,https://github.com/electron/electron,linux-arm-debug,electron/electron,linux-arm-debug,yes,Use cache for PR commits,x?,?,,,,Accelerate builds using external caching,sccache,Accelerate builds using external caching,Check PR_number using environment variable;  ,Use Circle CI env var.,0,Use sccache,Use sccache,OTHER,Remaining steps,Partial step,,Partial step,,,At earlier builds?,https://github.com/electron/electron,linux-arm-debug,electron/electron,linux-arm-debug,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.311587335,0.400754449,0.935698122,0.19025357,12245,17364860990587845942,13026,1149,TRUE
18,https://github.com/electron/electron,linux-arm-testing,electron/electron,linux-arm-testing,yes,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,There is another aceceleration but the latest does not have,,Check if commit is doc only change,https://github.com/electron/electron,linux-arm-testing,electron/electron,linux-arm-testing,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.518927754,0.544989087,1.046655134,0.225084159,21706,16580941360410938413,23090,1191,TRUE
114,https://github.com/electron/electron,linux-arm64-debug,electron/electron,linux-arm64-debug,#N/A,Use cache for PR commits,x?,?,,,,Accelerate builds using external caching,sccache,Accelerate builds using external caching,Check PR_number using environment variable;  ,Use Circle CI env var.,0,Use sccache,Use sccache,OTHER,Remaining steps,Partial step,,Partial step,"                  if [ -f "".src-cache-marker"" ]; then
",,At earlier builds?,https://github.com/electron/electron,linux-arm64-debug,electron/electron,linux-arm64-debug,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.375315122,0.430338871,0.871470453,0.237422396,12222,8446815249878105006,13000,1148,TRUE
106,https://github.com/electron/electron,linux-arm64-debug-gn-check,electron/electron,linux-arm64-debug-gn-check,#N/A,Use cache for PR commits,x?,?,,,,Accelerate builds using external caching,sccache,Accelerate builds using external caching,Check PR_number using environment variable;  ,x,1,Use sccache,Use sccache,OTHER,,Partial step,,Partial step,,,,https://github.com/electron/electron,linux-arm64-debug-gn-check,electron/electron,linux-arm64-debug-gn-check,,,0.667412843,0.648271019,0.846896963,0,8391,9425862827728894663,8926,1225,TRUE
29,https://github.com/electron/electron,linux-arm64-testing,electron/electron,linux-arm64-testing,#N/A,Skip builds (many things) when only documents are modified;Use cache for PR commits;,Skip if only changed docs,△,Skip builds if only doc changes; Skip Generate cross arch snapshot (arm/arm64) for PRs;,"if [ ""$TRIGGER_ARM_TEST"" == ""true"" ] && [ -z ""$CIRCLE_PR_NUMBER"" ]; then",Skip doc only change,Skip builds if only doc changes,,Skip builds if only doc changes,Check modified files using GitHub API and save a file with value true to indicate doc only change;Check PR_number using environment variable;  ,Use Circle CI env var.,△,Use Circle CI env var.; Use GitHub API,Use Circle CI env var.; Use GitHub API,HALT;OTHER,Remaining steps,,Remaining steps,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,linux-arm64-testing,electron/electron,linux-arm64-testing,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.520837155,0.556593311,1.130319595,0.192403192,21711,15495932258758767318,23095,1187,TRUE
12,https://github.com/electron/electron,linux-arm64-testing-gn-check,electron/electron,linux-arm64-testing-gn-check,yes,Skip tests when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,THere were doc check previously,,Check if commit is doc only change,https://github.com/electron/electron,linux-arm64-testing-gn-check,electron/electron,linux-arm64-testing-gn-check,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.74977724,0.758275422,0.8577143,0.703370534,18776,17137092172437160420,19973,1284,TRUE
152,https://github.com/electron/electron,linux-checkout,electron/electron,linux-checkout,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,linux-checkout,electron/electron,linux-checkout,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.249442233,0.469475817,1.157369531,0.13677533,11802,5019244142918041798,12554,1448,TRUE
132,https://github.com/electron/electron,linux-checkout-and-save-cache,electron/electron,linux-checkout-and-save-cache,#N/A,Skip building chache when  only documents are modified; Skip building cache when cache has been already made,Skip if only changed docs,△,,,,,,Skip building chache when  only documents are modified; Skip building cache when cache has been already made,Check modified files using GitHub API and save a file with value true to indicate doc only change; Checking a cache file,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.; Checking a cache file,HALT;HALT,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,linux-checkout-and-save-cache,electron/electron,linux-checkout-and-save-cache,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.24395259,0.230989788,0.341269581,0.153405823,14289,6593269778277579281,15199,1338,TRUE
16,https://github.com/electron/electron,linux-checkout-fast,electron/electron,linux-checkout-fast,yes,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,linux-checkout-fast,electron/electron,linux-checkout-fast,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.386518911,0.351766597,0.425718072,0.192455845,14240,16792019002396330719,15148,1323,TRUE
81,https://github.com/electron/electron,linux-ia32-debug,electron/electron,linux-ia32-debug,#N/A,Use cache for PR commits,x,1,,,,,,Accelerate builds using external caching,Check PR_number using environment variable;  ,x,0,,Use sccache,OTHER,,,,Partial step,,,,https://github.com/electron/electron,linux-ia32-debug,electron/electron,linux-ia32-debug,,,0.476331538,0.514281011,0.815197022,0.294296714,12399,11578655312820628803,13189,1168,TRUE
41,https://github.com/electron/electron,linux-ia32-testing,electron/electron,linux-ia32-testing,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT;,Remaining steps,,,Remaining steps,There many patterns,,Check if commit is doc only change,https://github.com/electron/electron,linux-ia32-testing,electron/electron,linux-ia32-testing,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.589482507,0.569752136,1.077906683,0.196248928,21847,14625869809223964351,23241,1179,TRUE
96,https://github.com/electron/electron,linux-ia32-testing-nan,electron/electron,linux-ia32-testing-nan,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",△,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-ia32-testing-nan,electron/electron,linux-ia32-testing-nan,if [ -s src/electron/.skip-ci-build ]; then,,0.763045826,0.724370205,0.870050277,0.533105917,14369,10535446330559996368,15285,1124,TRUE
192,https://github.com/electron/electron,linux-ia32-testing-node,electron/electron,linux-ia32-testing-node,#N/A,Skip testing when when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",△,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-ia32-testing-node,electron/electron,linux-ia32-testing-node,if [ -s src/electron/.skip-ci-build ]; then,,0.254364376,0.42845135,0.995293546,0.157554836,12609,752286462233125469,13413,1123,TRUE
34,https://github.com/electron/electron,linux-ia32-testing-tests,electron/electron,linux-ia32-testing-tests,#N/A,Skip testing when when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",△,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-ia32-testing-tests,electron/electron,linux-ia32-testing-tests,if [ -s src/electron/.skip-ci-build ]; then,,0.695663771,0.651267078,0.967903082,0.240675798,17889,15022287573635787912,19030,1029,TRUE
196,https://github.com/electron/electron,linux-x64-debug,electron/electron,linux-x64-debug,#N/A,Use cache for PR commits,x,1,,,,Accelerate builds using external caching,sccache,Accelerate builds using external caching,Check PR_number using environment variable;  ,x,1,Use sccache,Use sccache,OTHER,,Partial step,,Partial step,,,,https://github.com/electron/electron,linux-x64-debug,electron/electron,linux-x64-debug,,,0.48439765,0.559556673,1.09632817,0.333551219,12404,431828779946996754,13194,1166,TRUE
48,https://github.com/electron/electron,linux-x64-debug-gn-check,electron/electron,linux-x64-debug-gn-check,#N/A,Use cache for PR commits,x,△,,,,Accelerate builds using external caching,sccache,Accelerate builds using external caching,Check PR_number using environment variable;  ,x,1,Use sccache,Use sccache,OTHER,,Partial step,,Partial step,,,,https://github.com/electron/electron,linux-x64-debug-gn-check,electron/electron,linux-x64-debug-gn-check,,,0.667751013,0.663679492,0.864610347,0.439288989,8395,13816875821315533252,8930,1221,TRUE
109,https://github.com/electron/electron,linux-x64-testing,electron/electron,linux-x64-testing,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,linux-x64-testing,electron/electron,linux-x64-testing,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.555780848,0.530819588,0.927725227,0.06340042,21916,9105843817785557804,23314,1183,TRUE
159,https://github.com/electron/electron,linux-x64-testing-gn-check,electron/electron,linux-x64-testing-gn-check,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-x64-testing-gn-check,electron/electron,linux-x64-testing-gn-check,if [ -s src/electron/.skip-ci-build ]; then,,0.74798826,0.747732298,0.869921193,0.700786371,18767,4236423323167775981,19964,1284,TRUE
88,https://github.com/electron/electron,linux-x64-testing-nan,electron/electron,linux-x64-testing-nan,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-x64-testing-nan,electron/electron,linux-x64-testing-nan,if [ -s src/electron/.skip-ci-build ]; then,,0.771831545,0.736204395,0.883183495,0.538409434,14356,11330925938021842374,15271,1115,TRUE
137,https://github.com/electron/electron,linux-x64-testing-no-run-as-node,electron/electron,linux-x64-testing-no-run-as-node,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,linux-x64-testing-no-run-as-node,electron/electron,linux-x64-testing-no-run-as-node,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.565114797,0.571749322,0.942783903,0.32701577,14126,6007725379880977938,15027,1192,TRUE
122,https://github.com/electron/electron,linux-x64-testing-node,electron/electron,linux-x64-testing-node,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,"If cache does not exist, it takes a longer time. ",,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-x64-testing-node,electron/electron,linux-x64-testing-node,if [ -s src/electron/.skip-ci-build ]; then,,0.479638802,0.533373372,1.084461089,0.183421998,12727,7725507984467660698,13538,1118,TRUE
148,https://github.com/electron/electron,linux-x64-testing-tests,electron/electron,linux-x64-testing-tests,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,linux-x64-testing-tests,electron/electron,linux-x64-testing-tests,if [ -s src/electron/.skip-ci-build ]; then,,0.74144105,0.710589135,1.047230335,0.254802971,17985,5244127268378676654,19132,1019,TRUE
73,https://github.com/electron/electron,mac-checkout,electron/electron,mac-checkout,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,THere were doc check previously,,Check if commit is doc only change,https://github.com/electron/electron,mac-checkout,electron/electron,mac-checkout,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.261779072,0.430482137,0.868178408,0.180423559,7809,12082586925536713857,8307,1347,TRUE
33,https://github.com/electron/electron,mac-checkout-and-save-cache,electron/electron,mac-checkout-and-save-cache,#N/A,Skip builds (many things) when only documents are modified; Skip updating cache when cache has been already made ,"Skip if only changed docs
Skip if the cache to build already exists",0,,,,,,Skip builds (many things) when only documents are modified; Skip updating cache when cache has been already made,Check modified files using GitHub API and save a file with value true to indicate doc only change; Checking a cache file,"Use Circle CI env var.
Use files from other jobs
Use bash -f command",△,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Checking a cache file; Use Circle CI env var.,HALT;HALT,Remaining steps,,,Remaining steps,,,"Check if commit is doc only change
Halt the job early if the src cache exists",https://github.com/electron/electron,mac-checkout-and-save-cache,electron/electron,mac-checkout-and-save-cache,"if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then
if [ -f "".src-cache-marker"" ]; then",,0.242305674,0.235748046,0.315466441,0.155055289,14223,15139700192753691564,15130,1376,TRUE
85,https://github.com/electron/electron,mac-checkout-fast,electron/electron,mac-checkout-fast,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,mac-checkout-fast,electron/electron,mac-checkout-fast,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.388827002,0.355378034,0.423000366,0.202679898,14185,11502989808562086196,15089,1361,TRUE
110,https://github.com/electron/electron,mas-testing,electron/electron,mas-testing,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing,electron/electron,mas-testing,if [ -s src/electron/.skip-ci-build ]; then,,0.481280129,0.47551184,0.744220392,0.107696965,15240,9011817151637515664,16212,1081,TRUE
181,https://github.com/electron/electron,mas-testing-arm64,electron/electron,mas-testing-arm64,#N/A,Skip builds (many things) when only documents are modified,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing-arm64,electron/electron,mas-testing-arm64,if [ -s src/electron/.skip-ci-build ]; then,,0.519216696,0.546087901,0.778897765,0.144436754,2541,2278821274170835762,2703,748,TRUE
156,https://github.com/electron/electron,mas-testing-gn-check,electron/electron,mas-testing-gn-check,#N/A,Skip testing when only documents are modified;Use cache for PR commits,Skip if only changed docs,△,Skip testing when only documents are modified; Use external sccache,,,,,Skip testing when only documents are modified; Use external sccache,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; ,"Use files from other jobs
Use bash -s command",1,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; Use files from other jobs; Use bash -s command,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; Use files from other jobs; Use bash -s command,HALT;OTHER,Remaining steps,,Remaining steps,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing-gn-check,electron/electron,mas-testing-gn-check,if [ -s src/electron/.skip-ci-build ]; then,,0.643018464,0.542031318,1.055756062,0.0811069,14990,4695340180853318900,15946,1167,TRUE
